Nome da Tarefa;Tipo da Tarefa;Tipo da Tarefa ID;Data de Criação;Data de Conclusão;Status;Status Descrição;Usuário;ID do Usuário
Consectetur iusto voluptatem;Tarefa a Ser Feita;2;2025-05-15 16:24:04;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Dolore harum quos omnis maxime facilis;Tarefa a Ser Feita;2;2023-10-15 16:00:05;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Fuga ipsam autem alias commodi;Tarefa a Ser Feita;2;2024-06-03 20:29:11;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Facilis non;Tarefa a Ser Feita;2;2024-04-13 01:45:27;2025-03-03 01:45:27;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Laborum tempora soluta;Tarefa a Ser Feita;2;2024-11-11 21:51:32;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quis voluptatem;Tarefa a Ser Feita;2;2024-11-26 01:43:12;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Hic officiis vitae;Tarefa a Ser Feita;2;2023-10-08 06:55:45;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar aut;Item de Compra;1;2023-10-19 23:56:19;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar aperiam;Item de Compra;1;2023-11-19 22:17:27;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar nam;Item de Compra;1;2024-03-27 12:38:46;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar ea;Item de Compra;1;2025-05-21 13:34:09;2025-06-02 20:52:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Praesentium magnam veniam fugiat necessitatibus;Tarefa a Ser Feita;2;2023-08-10 03:50:33;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Sunt beatae;Tarefa a Ser Feita;2;2023-06-19 12:57:21;2024-01-30 12:57:21;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar voluptatum;Item de Compra;1;2024-07-25 01:51:28;2025-04-13 01:51:28;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Autem architecto;Tarefa a Ser Feita;2;2024-09-23 20:49:35;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar doloribus;Item de Compra;1;2024-04-01 00:29:52;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar adipisci;Item de Compra;1;2023-11-22 12:32:34;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Ipsum doloremque officiis ipsa assumenda sint;Tarefa a Ser Feita;2;2025-03-22 23:24:50;2025-06-02 20:50:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar vitae;Item de Compra;1;2024-11-21 22:29:32;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Beatae architecto nam;Tarefa a Ser Feita;2;2024-10-05 00:03:48;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Beatae quo voluptates consectetur non;Tarefa a Ser Feita;2;2024-06-29 12:24:01;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Voluptates minima doloremque ratione;Tarefa a Ser Feita;2;2023-10-11 09:11:00;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Nihil ullam mollitia nobis atque;Tarefa a Ser Feita;2;2024-10-24 03:58:26;2025-06-02 21:41:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar occaecati;Item de Compra;1;2023-09-21 14:34:16;2024-02-11 14:34:16;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dolore eligendi excepturi;Tarefa a Ser Feita;2;2023-08-25 04:18:12;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ducimus et repellendus;Tarefa a Ser Feita;2;2024-01-29 18:00:24;2024-02-02 18:00:24;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Pariatur saepe temporibus mollitia qui inventore omnis;Tarefa a Ser Feita;2;2024-02-11 03:18:52;2024-10-23 03:18:52;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Dolore aperiam at vitae tempora veniam nam consequuntur;Tarefa a Ser Feita;2;2023-09-16 12:00:31;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quaerat nisi repudiandae;Tarefa a Ser Feita;2;2023-12-02 00:19:10;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Delectus totam rem a;Tarefa a Ser Feita;2;2024-02-13 10:16:13;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Reiciendis error natus ad ipsam facere;Tarefa a Ser Feita;2;2024-03-09 20:18:24;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar ipsa;Item de Compra;1;2025-02-20 21:01:47;2025-06-02 21:20:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Pariatur rem ipsa odio soluta;Tarefa a Ser Feita;2;2024-10-08 09:27:49;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Velit sequi repudiandae quasi porro rerum corporis et;Tarefa a Ser Feita;2;2024-06-17 03:49:10;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Excepturi corporis id sed;Tarefa a Ser Feita;2;2024-06-14 07:56:40;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Cupiditate molestias aliquid ducimus provident rerum quae;Tarefa a Ser Feita;2;2023-10-08 17:54:36;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Repellendus iusto error;Tarefa a Ser Feita;2;2024-01-25 01:06:34;2024-10-31 01:06:34;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar magnam;Item de Compra;1;2023-06-24 00:04:31;2023-09-03 00:04:31;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quaerat repellendus dolorem corporis;Tarefa a Ser Feita;2;2024-06-24 23:21:04;2024-07-31 23:21:04;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Accusantium odit asperiores vitae distinctio perspiciatis;Tarefa a Ser Feita;2;2023-08-29 10:10:49;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Voluptas fuga sequi impedit eaque iure dolor neque;Tarefa a Ser Feita;2;2023-06-05 15:22:43;2023-11-22 15:22:43;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Rem ad corporis molestiae;Tarefa a Ser Feita;2;2024-11-01 23:29:54;2024-11-19 23:29:54;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar beatae;Item de Compra;1;2024-04-20 08:29:54;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Unde quo quae suscipit tenetur nesciunt quidem;Tarefa a Ser Feita;2;2024-06-01 16:11:58;2024-06-29 16:11:58;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Magni quos totam distinctio vero eum delectus;Tarefa a Ser Feita;2;2025-01-30 18:50:32;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Voluptate ipsam corporis ea nam natus;Tarefa a Ser Feita;2;2024-07-30 13:07:08;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Earum sint quisquam vero labore nostrum;Tarefa a Ser Feita;2;2024-09-13 05:55:11;2025-06-02 21:32:40;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar optio;Item de Compra;1;2023-09-30 18:50:14;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Voluptas vel laborum eos esse velit;Tarefa a Ser Feita;2;2023-08-07 05:57:10;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar perferendis;Item de Compra;1;2025-03-03 07:41:03;2025-04-23 07:41:03;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Repellendus in a quisquam quod ad architecto ipsam;Tarefa a Ser Feita;2;2024-12-04 02:00:02;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Explicabo voluptatem libero inventore eaque nesciunt ratione;Tarefa a Ser Feita;2;2024-09-23 16:27:39;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ut ut animi dolorem;Tarefa a Ser Feita;2;2024-11-02 18:58:37;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Possimus;Tarefa a Ser Feita;2;2025-04-17 17:22:27;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Amet quas dolor beatae dolorem;Tarefa a Ser Feita;2;2023-12-07 11:36:26;2024-03-16 11:36:26;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar eveniet;Item de Compra;1;2023-09-08 14:29:23;2024-04-25 14:29:23;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quae atque quia;Tarefa a Ser Feita;2;2024-11-06 15:39:01;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar unde;Item de Compra;1;2024-09-29 09:50:06;2025-01-12 09:50:06;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar possimus;Item de Compra;1;2025-01-25 22:30:58;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar eius;Item de Compra;1;2025-04-17 21:58:36;2025-06-02 21:37:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar laborum;Item de Compra;1;2024-01-27 06:49:29;2025-01-03 06:49:29;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar odit;Item de Compra;1;2024-06-01 08:43:59;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Velit modi ullam labore maiores;Tarefa a Ser Feita;2;2023-11-16 09:14:57;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Voluptatem placeat facilis amet ipsum;Tarefa a Ser Feita;2;2024-08-10 00:30:15;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Cupiditate ducimus tempora tempore;Tarefa a Ser Feita;2;2023-07-11 12:34:32;2023-11-23 12:34:32;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Molestias autem repellendus officia;Tarefa a Ser Feita;2;2023-10-11 19:21:35;2023-12-19 19:21:35;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Esse recusandae iusto nihil error possimus minus explicabo;Tarefa a Ser Feita;2;2025-03-05 19:08:31;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Aut perspiciatis;Tarefa a Ser Feita;2;2023-09-29 11:34:43;2023-12-27 11:34:43;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Commodi nobis doloremque;Tarefa a Ser Feita;2;2023-09-12 20:15:26;2024-06-14 20:15:26;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar velit;Item de Compra;1;2024-02-28 05:42:31;2025-01-26 05:42:31;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar quod;Item de Compra;1;2023-10-01 06:36:04;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Ea veritatis possimus unde;Tarefa a Ser Feita;2;2023-12-10 04:29:57;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Alias deserunt esse;Tarefa a Ser Feita;2;2023-12-23 12:25:14;2024-01-30 12:25:14;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar illo;Item de Compra;1;2024-02-04 19:06:05;2024-05-16 19:06:05;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Fuga quibusdam adipisci hic;Tarefa a Ser Feita;2;2025-04-24 04:36:03;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Sunt quia quasi error dolores eaque;Tarefa a Ser Feita;2;2023-07-29 11:33:32;2024-07-25 11:33:32;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Explicabo quis;Tarefa a Ser Feita;2;2024-05-15 01:24:37;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar excepturi;Item de Compra;1;2024-06-06 08:24:31;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar sed;Item de Compra;1;2024-03-22 23:19:53;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar repellat;Item de Compra;1;2024-07-17 20:00:48;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Delectus qui;Tarefa a Ser Feita;2;2024-11-01 23:39:19;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Occaecati sequi provident fugiat;Tarefa a Ser Feita;2;2023-12-01 11:21:12;;3;Cancelado;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Rem ipsum eum;Tarefa a Ser Feita;2;2024-09-26 11:28:58;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Repellendus eos;Tarefa a Ser Feita;2;2023-11-24 07:26:49;2023-12-14 07:26:49;2;Concluído;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Commodi aliquam;Tarefa a Ser Feita;2;2023-07-30 12:09:33;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Comprar incidunt;Item de Compra;1;2025-06-02 19:02:41;;3;Cancelado;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
Quasi incidunt itaque;Tarefa a Ser Feita;2;2024-04-16 16:41:34;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Quos iure ab;Tarefa a Ser Feita;2;2025-05-18 20:05:25;;1;A Fazer;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Culpa eos nulla voluptas doloremque fugiat;Tarefa a Ser Feita;2;2024-06-13 23:39:29;2025-06-02 21:35:40;2;Concluído;Pedro da Silva;f9a533f2c78e4a09f87c9e68e442d3fe
Comprar adipisci;Item de Compra;1;2024-08-21 06:42:53;;1;A Fazer;Jeferson Klau;b4853fc1f03a3a4cec530a98a94d89ad
